dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/09/19 08:00:00+00,4,663,0,9,98,19820,2,461,102,20483,2,470,34b0baf8-0e39-4e08-bf56-55f799c8d15c,205
2020/09/20 08:00:00+00,3,666,0,9,92,19912,0,461,95,20578,0,470,816d6b9f-39ce-486e-9e42-304938d565d6,206
2020/09/21 08:00:00+00,3,669,0,9,55,19967,0,461,58,20636,0,470,d8c14058-e409-47bb-b9ce-5c41ad4c8574,207
2020/09/22 08:00:00+00,4,673,0,9,85,20052,1,462,89,20725,1,471,43a741d7-bfaa-48a1-a787-77ecfd2714db,208
2020/09/23 08:00:00+00,6,679,0,9,119,20171,2,464,125,20850,2,473,223c4666-721e-4feb-b2fd-d0ef56def583,209
2020/09/24 08:00:00+00,0,679,0,9,72,20243,1,465,72,20922,1,474,7635024b-b2bd-4d20-a79a-74e6cc7a4199,210
2020/09/25 08:00:00+00,3,682,0,9,104,20347,1,466,107,21029,1,475,62810f11-a9da-45f1-aba9-1bfe56212c4e,211
2020/09/26 08:00:00+00,7,689,0,9,80,20427,1,467,87,21116,1,476,efced525-94ad-4c7c-8870-36980b28a3bb,212
2020/09/27 08:00:00+00,6,695,0,9,23,20450,0,467,29,21145,0,476,f8c9518f-5282-4f59-a8ba-828fdc1c8b21,213
2020/09/28 08:00:00+00,3,698,0,9,79,20529,1,468,82,21227,1,477,b6d66c83-36e0-4674-9f11-ebf76809200e,214
2020/09/29 08:00:00+00,0,698,0,9,55,20584,1,469,55,21282,1,478,0bf0469a-dc52-486b-b251-c2be094925ed,215
2020/09/30 08:00:00+00,1,699,0,9,64,20648,2,471,65,21347,2,480,7c1c6cc0-64f5-4a26-bb2a-2dd7010e873b,216
2020/10/01 08:00:00+00,7,706,0,9,89,20737,2,473,96,21443,2,482,650598c2-05b2-4b45-ac6d-bf96fde897bf,217
2020/10/02 08:00:00+00,3,709,0,9,111,20848,2,475,114,21557,2,484,5f57b87b-a3f3-40be-971d-2af5a2d8c8bf,218
2020/10/03 08:00:00+00,2,711,0,9,56,20904,1,476,58,21615,1,485,58522bf3-0484-44ea-bce6-8add473ddbee,219
2020/10/04 08:00:00+00,2,713,0,9,50,20954,0,476,52,21667,0,485,bdd81dff-f888-4b28-9220-517e117ff3f7,220
2020/10/05 08:00:00+00,0,713,0,9,44,20998,0,476,44,21711,0,485,390ee35d-27a6-4b54-9f0f-ab5604fecb35,221
2020/10/06 08:00:00+00,2,715,0,9,44,21042,0,476,46,21757,0,485,f18ab133-2189-4267-a0c9-cd82de665406,222
2020/10/07 08:00:00+00,3,718,0,9,90,21132,0,476,93,21850,0,485,abd1190c-4275-4c53-8dfb-1bca3ddddacd,223
2020/10/08 08:00:00+00,5,723,0,9,89,21221,1,477,94,21944,1,486,5b4d539c-43d4-401f-8c89-e320d04acbb3,224
2020/10/09 08:00:00+00,1,724,0,9,66,21287,0,477,67,22011,0,486,abfac596-2bcf-4633-9c0b-c5c7559e2ef8,225
2020/10/10 08:00:00+00,2,726,0,9,90,21377,1,478,92,22103,1,487,1c5dfb71-5459-494e-8105-14133cce3015,226
2020/10/11 08:00:00+00,0,726,0,9,63,21440,1,479,63,22166,1,488,02321a99-0519-4821-b4fd-72a5fa81abd2,227
2020/10/12 08:00:00+00,0,726,0,9,45,21485,0,479,45,22211,0,488,4bcce05c-fe61-4f9f-adbd-f9e1099f8a46,228
2020/10/13 08:00:00+00,1,727,0,9,36,21521,0,479,37,22248,0,488,9c0a5cf0-f170-4c06-b9eb-42d8cab17b9b,229
2020/10/14 08:00:00+00,0,727,0,9,44,21565,0,479,44,22292,0,488,f80834df-e2c2-4631-a228-c58f29839010,230
